KOG0619,7,4,Q8GYK0;Q0WL06;F4K682;O48705;O80809;Q5G5E0;Q9SSD1;Q9SFG3;Q9SKK2;Q9C6A7;Q9SVM5;Q8W4Q3;Q1PEN0;O49325;O64566;Q9SSM0;Q9LQ21;Q9SRL2;Q9FH86;Q9SJH6;O49327;Q9LRX1;Q9XID2;Q9FH56;O64757;Q9LS80;Q6Q4D0;F4HT77;Q9LJS2;Q5PP26;Q9C906;Q6NQP4;Q9LT39;Q8VYG9;Q70CT4;Q9LS79;Q9FHL8;Q9LJK6;O49328;F4HR92;Q9C6A6;Q9M9X0;Q9LXU5;Q9FFJ3;Q9C6A8;Q9C637;Q9SVW8;Q7FZR1;Q9ZT98;Q93YT3;F4HV48;Q00874;Q5G5D8;Q0WN16;Q9S9U3;Q9FW48;Q8RWE5;Q9FPJ5;O48763;Q9LP24;Q9ZUK3;O81455;Q9SRL7;Q9M2Y3;Q9CA41;Q0WVH1;Q8VZG8;Q9FW47;Q9FW49;Q9LRW9;Q9LRV8;Q9FL15;Q9M1B6;Q9SHI3;Q9C9H6;Q0WR58;Q9C9H7;Q9MA83;Q9SGN1;O48849;Q9SHU4;P0C895;Q9FJ11;Q9M9X1;Q9M0H5;Q8RX63;F4IHG3;Q8GZ49;Q8RWI2;Q9FLK9;Q9LJS0;Q9LUN3;Q9SN38;Q8RXQ6;O49329;Q9SHI4;Q0WRZ8;Q9C611;Q9SVN2;Q9C699;Q9LI76;Q9FK66;Q9SKK5;Q9LJW7,ZERO,G5EG78;G5EFP4;Q93373;Q93377;Q18902;Q9U3A0;Q09564;Q22075;P90920;Q23580;Q22187;Q1ENI8;O01764;Q9N4Z5;Q9N5D7;Q93177;Q7JPD6;Q93539;Q9N3F2;Q9XW74;Q9TZM3;O61967;O02329,G5EG78,Q8SXT3;Q9VJ07;Q9W2D7;Q9VR83;Q7JWP9;A0A0B4KHY2;Q9VZ84;Q9VKX6;Q8IH19;Q9VJQ0;Q95S21;Q9V430;Q9VJN8;Q9VQS3;X2JJX6;Q7KV24;Q9VHV2;Q9VBR3;A0A0B4KHK5;Q9W2J7;Q9VT89;Q6NR19;Q7JPR9;Q7JXU8;Q24386;Q0KHN6;Q9VDD5;A0A0B4LGB0;Q7K2X5;M9PFH7;Q9VDD4;Q9VAD1;Q5U1A7;Q9W3T9;A0A0B4KFU1;Q7KT58;Q9VBP0;Q6AWM0;Q9W128;X2JCD3;Q9VEH4;Q9W266;Q86PM1;M9MSI4;Q9VT44;Q2XY26;Q9V9V6;Q9VV09;Q8T3J2;Q9VK22;Q9VHV3;B6IDK2;Q9VZZ4;Q9W2U2;Q9BN18;Q8SZV5;D0IQL1;X2J6K6;Q9VE49,Q9VZZ4,E7FC34;F1QG51;F1QG52;I3ITI1;F1RE98;B8JKF3;F1R0N0;B8JIB3;F1R616;E7F6K4;Q1LXA7;H9GY03;E9QIH3;B0S5R7;B8A5X5;F1Q9H7;F1QCS9;E7EXY6;I3IS38;F1Q6F4;F1QPU8;E7F5U2;F1Q8K6;Q6GMI5;F1QPB1;F1R2G2;A8DZ86;E7FDN5;H9GYJ3;E7F9S2;E7F333;I7HJH4;M9MM99;E7EXM1;F1QHX4;A2BIH6;E7FFN8;F1QJU2;Q66HV9;F1RET9;F1R2H9;F1QRY7;F1QX89;F1R770;F1QBH8;Q1LV51;E7FF15;Q1L8Y7;F1Q7R2;E7F0F5;A4QNV9;E7F7W3;F1Q7V7;E9QF02;E7F965;Q15JE7;E7FBM0;F8W4D7;F1QFI1;F1R6B0;Q1ED19;F1QKB4;Q5RI43;F1QJY2;B8A5X4;B8JIN1;G1K2U4;F1R1Q4;F8W5N7;B0S5X0;A0JMK3;F1QJL6;E9QJJ1;E7F2A9;F1QGN1;F1Q881;F1QLW6;F1QRB0;F1QFS7;F1QR37;B8JLP1;E7FB87;F6P621;B8JKM0;A2CF42;Q6DHL5;F1Q983;Q5RI45;B3DK88;E7F3W2;B0R160;F1Q809;F1R0V0;E7FE43;F1QCU7;F1QA76;F6NL91;F1R6I3;A3KH16;E7FBW4;E7FEH0;E7FB32;E7FDK4;E7FBY6;F1QLS2;E7EZ70;E7FB25;Q5RHE5;F1R6G3;E9QCF6;B0S8K3;A5WVM1;F1Q7W4;E7F813;F1QK21;F1QVN0;F1QNH9;E7F1H8;E7FFB2;E7FE13;F1R8Q8;E7FB24;A2BF98;F1QVP4;A8BBJ2;Q4H4B6;F1RDG1;F1R478;E7EXH9;F1R2S9;F1QT78;E7EZ83;B0S5B5;F1Q726;F1RDW2;F1Q661;H9GZ54;A9JRH0;E7EXN8;E7FDP8;E7FC40;H9GXC4;E7FCW6;F1QY29,F1R6G3,A0A024R2R5;A0A024R4I8;A0A024R5I6;A0A024R5J7;A0A024R5J8;A0A024R870;A0A024R892;A0A024R971;A0A024R993;A0A024R9M3;A0A024RBC3;A0A0A8K8C7;A4D0T1;A4D1F6;A6NDA9;A6NIK2;A6NIV6;A6NM36;A6NM62;A8K0R3;Q86UN3;P14770;Q6WRI0;Q6P2D8;Q9BXN1;Q6NSJ5;P02750;Q8TDW0;Q9H756;Q7L1W4;P13224;Q9UFC0;Q96PE1;Q9HBL6;Q86YC3;Q6PEZ8;Q9HB75;Q9BTN0;Q50LG9;Q99983;Q8N7C0;Q9BZR6;Q6UXM1;Q6FH10;O43300;Q8N967;Q9P2V4;Q86VH4;Q6ZNQ3;P22792;P51888;Q13641;Q9P244;Q6UXK5;Q8WXD0;P23515;Q6P9F7;P07359;Q9ULH4;O14498;P21810;Q86UE6;Q9HBW1;Q5VT99;Q86VH5;Q8N6Y2;Q86X40;Q96CX6;O94769;Q96L50;Q9HCJ2;Q6UY18;Q7L985;Q9BXB1;Q68CR7;O60938;P51884;Q8IWK6;Q7Z5L7;Q9Y2L9;Q9UBM4;P35858;Q6EMK4;Q8N456;Q9Y4C4;Q8WUT4;Q5JU00;Q7Z2Q7;Q96DD0;Q96FE5;O60346;Q96NI6;Q38SD2;Q9HBX8;Q5BKY1;Q9UQ13;Q6UXK2;Q2I0M4;Q6ZSA7;Q9HBX9;J3KQU2;Q6NUI6;Q9NR99;Q86UN2;O15335;Q86SQ6,P21810;O94769;P51884;Q6NUI6,Q08817;P08678,ZERO,P14605;O94294,ZERO
KOG3627,4,1,NONE,NONE,O01566;O01771;Q6AHP9;Q17800;P91484;Q9N3T6;O45421;O76654;O76652;O76653;O76649;Q23528;H2KYV6,ZERO,Q8SZG4;Q9VPN7;Q9VPN8;A0A0B4LH73;Q9VRS9;Q9VRD1;Q9VRD0;A1ZA34;Q7JRM2;Q5U142;Q2PDW5;Q9VGB8;Q9VET2;A0A0B4KGQ4;Q9VFW0;P98159;Q9VEM9;Q9VEM6;Q9VEM5;Q8INA0;Q9VKA8;A0A0B4K687;A1ZBU1;Q9W0Z7;Q4V3U8;Q9W453;Q8IRR3;Q9W454;Q9VBG5;E1JIW3;Q9VJD7;Q9VL01;Q9VWU1;Q8SXE1;Q9VRS3;Q9VRU0;A1ZA39;A1ZAG9;Q8MS70;Q9VEN0;Q9VEM8;Q9VUG2;Q9I7V4;Q9W2C8;Q9VQ98;Q9VQA0;Q0KI07;Q5ELM0;Q7KT83;Q9VA66;Q4V653;Q9VW19;Q9VAG3;P17207;A1Z7M4;Q7KT84;Q8IQ51;Q9VT15;Q95SN8;Q9I7I3;Q8T4B1;Q8MR95;Q9VB66;Q9VQH9;Q0E8E2;Q8T429;Q9VP95;Q9VAT8;Q95SL6;Q9VK10;Q9VA88;A0A0B4LHW2;A1ZA38;O62589;Q9VHF8;Q9VHF7;Q9VQ97;Q9VVT3;Q95SU8;Q9VS71;P17205;Q8SXD9;Q9VGC0;Q9VDU8;Q9VS86;Q9Y157;Q7K2L4;Q8IRK6;Q8SYS8;Q24019;A1ZAG8;Q24110;Q9VTV2;A0A0B4JCS5;A1Z7D2;A1Z7D1;Q9W174;A0A0B4KGH9;A1Z8J8;P35005;P04814;P42278;P42279;Q5BI60;Q8SZ60;Q9VAQ2;Q8IH38;Q9VAQ3;A8JR43;Q9I7I1;Q9VSJ1;Q7KT73;Q7KT71;A0A0B4K7A9;Q9VQH8;Q7JX43;A1Z7H8;Q9VQA4;Q9VKA9;Q8IPY7;A8JUP7;A8JRE8;Q8SZU3;Q9V3J7;Q9VCJ9;Q9VVI4;B7Z091;Q9W314;A8JRF1;Q9VEM7;Q8MLV8;Q8IRK5;Q8IGJ1;Q9VAX6;A8JNS0;Q9VQ75;Q9VGA5;Q4V532;Q9VT24;Q9VT23;Q9VT25;A8JRF0;Q9VZT0;Q8IRE2;Q8IRE0;Q9VGB9;Q9VWD8;Q86B58;Q9VK00;P42280;Q9VFM0;Q8ING0;Q9VFL9;Q8T4A8;O76898;Q8T9D0;A1Z8J7;Q9VJZ8;Q8MLT0;Q9Y122;Q95SI6;Q9W1W5;Q9VXP8;Q9VUF0;Q8IQ10;Q9VS87;A1ZA44;Q9W2G1;Q7K1E3;Q8SXG6;Q8IRB8;Q7K3Y1;Q7K5M0;Q4V3S6;Q8SY35;Q9VQ99;A0A0B4JCV5;Q9VEA0;Q9VXC8;Q9VXC7;O76920;Q7JZK6;A1Z7M5;Q8INA1;Q9VCJ8;A0A0B4LH86;A8JPF3;A1ZA51;Q8MR67;Q8IN70;Q9VRT1;A1ZA42;A1ZA64;Q9VZS9;Q8IRE1;Q7KSK1;Q7KVM3;Q8IQ79;A1Z7C5;Q8MLV9;Q8IP30;Q8MSK6;Q8SX54;Q9VXC5;P42276;P52905;A0A0B4LF52;Q7JPN9;Q7JYN3;Q9VRS5;Q9VRS7;Q95RS6;Q8IN51;Q7KVM8;Q8IQ89;Q9W586;Q9VJD6;Q8MS90;B7Z0L3;Q9VFL7;Q9VA67;Q9VMX9;Q86P28;A1ZA41;Q8MR00;Q9VRS8;Q9VXC9;A8DYG0;Q4V4V0;Q9VVX9;Q4V5J3;Q9VLF5;Q9VVV0,ZERO,Q6DGW4;F1R4D1;F1Q817;E7F9E2;F1QTV8;F1QTV7;F1QFT0;Q1LUQ5;G1K2P6;A3KPY8;F1QV82;Q561U4;F1RER3;F1R615;F1R612;E7FAW1;F1R023;E7EY35;F1QJG3;F1Q925;A2VD37;A5PF55;F1R196;Q4V9I6;Q1LUR2;F1RC51;F1Q5Q0;F1QHZ9;F1QE83;F1R6L0;E7FGN9;F8W4J1;E9QFN9;F1R5X3;F1QM78;F1Q5D3;A8WIQ5;F1Q657;E7F1L5;Q66HW9;F1Q9Z9;F1QU14;F1QLR0;E7F463;F1QM63;F1QGL6;F1QXD8;F1QY57;A8WIQ2;F1QUI4;F1QMG9;E9QCA1;F1Q7H9;F1Q5S2;F1R6S4;E7F8R9;F1RAJ7;Q6DBS8;F1R5I1;F1QRL1;A5PMY0;E7F9A6;E7FDG4;E7FCR3;F1QLS3;E7FDS3;H9GXB4;A8WIQ4;H9GXL1;F1QV56;F8W5P2;F6P306;E7F8P5;F1QIC5;A5PKM4;F1QHB3;Q4QRH5;A8DZF9;E9QD93;Q6DHC9;A5D6S2;F1Q9E1;E7F5N1;E7F2C1;B0UXG9;F1R4J0;E7FCZ0;F1RAS3;F1R1L4;F1QJ90;F1R1X9;F1R494;A8DZG9;A2CET7;Q6AZC0;F8W3C3;E9QF25;F1R797;F1QVD1;A2BGP5;F1QM24;F1QS72;H9GX51;E7F1J3;F1R2W4;F1QJB3;F1QZU6;F1QPH1;F1QP91;E7FFN1;E7F3X2;F1R886;F1R8Y5;F1R545;F1QX88;F1RCU3;E7FDP9;A2BGB9;F1RBG3;F1QAL8;E9QD17;A3KPY7;F1QB78,ZERO,A0A024R4G4;A0A024R4H6;A0A024R4J4;A0A024R4J8;A0A024R4M6;A0A024R6Z5;A0A0A0MR61;A0A0A0MR82;A0A0C4DFQ5;A0A0G2JH38;A1L453;A4D1T9;B4E1Z4;B9A030;B9A039;E5RG02;E9PRA0;O00187;O15393;O43240;O60235;O60259;P00738;P00739;P00746;P00748;P00750;P00751;P03951;P03952;P05156;P05981;P06870;P07477;P08217;P08218;P08246;P08311;P08861;P09093;P09871;P10144;P10323;P12544;P17538;P20160;P20718;P22891;P23946;P24158;P35030;P48740;P49863;P51124;P56730;P57727;P98073;Q04756;Q14520;Q15661;Q16651;Q2L4Q9;Q2XQG6;Q546G3;Q5JP69;Q5K4E3;Q6ZWK6;Q7Z5A4;Q8NF86;Q9UI38;Q6UWB4;Q9UBX7;Q86T26;Q9NZP8;Q9Y6M0;Q86WS5;Q6PEW0;Q7RTY8;Q9H2R5;Q7RTY5;Q7Z410;Q9UL52;Q99895;Q7RTY3;Q6GPI1;Q8IYP2;Q9UKR3;Q9NRR2;Q9H3S3;Q8IU80;Q7RTY7;Q9UKR0;Q9BQR3;Q9UNI1;Q9NRS4;Q9BZJ3;Q9GZN4;Q9Y5Y6,A0A0C4DFQ5;P03952;P05981;P07477;P08246;P08311;P17538;P23946;Q15661;Q6GPI1;Q8IU80,NONE,NONE,NONE,NONE
KOG3577,4,1,NONE,NONE,Q9N532,ZERO,Q9W3H0;A1Z709;A8JUT5;Q9NBW1;M9PFW3;P18537;P91682,ZERO,A0JBX4;A3KNP6;A3QK10;B0S5E7;B0S6S2;B3DIG4;E7F535;E7F8L2;F1Q8N1;F1QBI2;F1QCT7;F1QDD6;F1QJG6;F1QJQ3;F1QRG7;F1R1X6;F1R238;Q504J9;Q5RH73;Q5TZ38;Q6NV44;Q7T2K9;Q8QFM3;Q9W6E3;Q9W6E0;Q9YI00,ZERO,Q9Y5Q5;A0A024R9E9;D9ZGF6;Q5T4F7;O00144;Q9BY79;Q9NPG1;Q9UP38;Q9ULV1;Q99835;Q9H461;Q14332;Q96HF1;Q13467;O75084;Q9ULW2;Q6FHJ7;Q8N474,Q96HF1,NONE,NONE,NONE,NONE
KOG1217,4,2,NONE,NONE,B9ZSH4;H2FLH1;H2KYS0;O16364;O45764;O45828;P41990;P90891;Q9UAV9;Q9XV21;Q9XX04;Q20043;Q9XUG6;Q9U2D5;Q20852;Q21756;Q9N432;Q93519;Q9XX05;Q19350;Q9BIA0;Q9XTS9;Q9U1T8;Q9U1T9;Q95Y21;Q9NL29;Q9TVY6,ZERO,A0A0B4K7R8;E1JHA6;E8NH67;M9PCJ6;Q9V4B8;Q8MQN5;Q8SYF5;Q9VB21,ZERO,B8JKQ5;C0H5W1;E7EZN2;E7F277;E7F2S5;E7F3Y7;E7F4G3;E7F9K6;E7FBP0;E7FDF7;E7FDJ3;E7FF99;E7FFU9;E7FFY2;E7FG71;F1Q5X7;F1QAF0;F1QCA1;F1QDU7;F1QEL8;F1QFX6;F1QH95;F1QHP9;F1QJ22;F1QMD7;F1QML5;F1QVB9;F1QZ90;F1R0I7;F1R148;F1R4I8;F1R731;F1R986;F1RB82;F1RC05;F1RE22;F1RE47;F2Z4T0;F6NQW0;H9GYQ2;Q1A5L2;Q1LYD2;Q5TZK8,F1RC05;F6NQW0,A0A024R8F5;A0A024RD55;A0A0A0MSD0;A0A0A0MTC8;P0CG37;P78504;Q7Z3S9;O15232;H0Y3X1;Q53RD9;Q8IX30;Q8TER0;P0CG36;P80370;Q5IJ48;Q9NYJ7;Q96DN2;Q9NR61;P13385;Q5T1H1;Q14766;Q9Y219,O15232;Q14766,NONE,NONE,NONE,NONE
KOG3544,4,3,NONE,NONE,P17656;O01662;Q7Z152;O01860;Q21039;Q9N3D7;Q20739;Q20744;Q20927;Q22537;G5ECU6;Q1EPL5;P17657;P18835;Q22260;Q19592;O02271;Q17402;Q86NE4;O44796;P34391;Q18536;P18833;O17209;O01904;Q20091;Q23628;Q9NA83;O61525;P34804;P91274;Q21047;Q9XUE9;P18832;Q93207;Q93208;Q19368;Q09578;Q18620;O17036;Q22183;Q9GYP3;G5EEB6;Q22651;Q17417;Q17418;Q21184;Q9N3X9;O17686;O44173;Q18345;Q17460;Q17458;Q17459;O17035;O17038;Q22256;Q9U2P5;Q17939;G5ED38;Q23422;Q23222;O01699;Q19514;O18097;Q19218;Q19079;Q9N4U2;Q20754;Q18480;P34340;O17734;Q19528;Q9TZ57;P91250;P91248;P91249;Q19979;Q09455;Q09456;Q09233;Q21855;Q18799;Q9U336;Q22380;Q86NE3;Q86NE2;Q18327;Q7YXA3;P20784;Q9GYS2;Q22393;Q8MXR1;O62432;Q86MP2;Q86MP1;A3QM98;Q9NAQ4;Q19050;Q9U349;Q9XVG3;Q9U348;Q20136;Q20135;Q19111;O44989;O01873;Q21562;Q9XWR2;Q18975;Q9GZF7;Q9XUT4;Q20282;Q20805;O17641;O17642;Q21437;Q94399;Q3S1L5;Q23263;O17805;Q95Y22;Q20270;P34687;O45114;A5JYR8;O76368;H2L0P1;Q86S35;Q23150;P18831;P18834;G4SNP7;Q9XVY1;P08124;Q19813;P17139,P17139,Q9VRM2;Q8IGN3;A0A0B4JDA4;X2JGC3;P08120;Q9U617;Q9VMV5;Q7JVE9;A8DQW8,ZERO,F1QAB3;F1RA14;F1QJC9;F1Q6P3;B0UXF7;F1R5V4;F8W5B3;F1RCT5;F1QP85;Q6IQX2;B5DC62;F1QDL1;F1R9Y1;E7EXU0;B8A4T6;F1Q9W0;Q1LYI5;H9GYP5;F1RCW2;F6NRG0;F1QYN1;F1QF07;F1QKE8;F1QJ37;F1Q5Q9;F1R7W0;F1QTQ2;F1Q924;F1R0N1;F1R291;F1R4X4;E7FCI4;E7FB02;F1Q5U3;F1R996;E7F5A1;E7FE47;E7FG81;F1QG79;D6MUD3;E7FCF1;H9GY81;E7FA40;F1QKL2;Q2LDA1;F1QKQ2;E7FEN9;F1Q593;F1QW09;A2RUX5;F1R407;F1RB44;E7FCV8,B0UXF7;F1R9Y1,A0A024R8E5;A0A024RDW8;A0A0C4DFS1;A0A0G2JL35;A6NMZ7;D9ZGF2;E9PAL5;Q14055;P53420;Q8IZC6;P25940;Q8NFW1;Q02388;P02458;P20849;Q9BXS0;Q01955;P05997;P02452;Q9UMD9;Q9Y215;Q07092;P08123;Q14031;P29400;P12109;Q05707;P13942;Q6PCB0;Q4VXY6;Q86Y22;P02461;P02462;Q9P218;P12107;Q14050;Q17RW2,A6NMZ7;Q14055;P53420;Q8IZC6;P25940;Q8NFW1;Q02388;P02458;P20849;Q9BXS0;Q01955;P05997;P02452;Q9UMD9;Q07092;P08123;Q14031;P29400;P12109;Q05707;P13942;Q6PCB0;Q86Y22;P02461;P02462;Q9P218;P12107;Q14050;Q17RW2,NONE,NONE,NONE,NONE
KOG0197,4,1,NONE,NONE,O45539;Q9N3S5;P03949,ZERO,Q24592;X2JCI2;M9PCD8,ZERO,E7F063;F1QWX8;E7FAC6;E7F1M5;B0V237;A5WWJ6;Q08BY6;E7FDC6;E7FGW7;E7F6R7;A0JMN4;B3DHT0;B0UXN7;Q1RLY5;E7F6J3;Q6EWH2;F1R4V1;E7F4S0;A1A5H8;F1R5C7;F1RDG9;Q5TYU7;F1R1F7;F1R3M1;E7F0I7;F1QPM9;Q66I04;H9GYF2;Q1JPZ3,ZERO,A0A024R7E4;A0A024R7M7;B2R6Q4;J3KPD6;P42680;P42681;O60674;P42679;P07948;P42684;P07947;Q9H3Y6;Q13882;Q08881;P23458;P00519;P51813;P12931;P51451;Q06187;P09769;P06241;P06239,P42684,NONE,NONE,NONE,NONE
KOG0200,4,1,NONE,NONE,Q21038;Q21868;Q23677;Q19238;O76385;O76697;Q9TZ79;Q10656;Q21041;Q95ZK1;Q10915;O18008;O76695;G5ED65;O17955;Q21046;O18174;Q9XX42;Q9N4T2;O17408;Q21867;Q17833;Q23136;Q95XJ7;P34891;H2KZN4,ZERO,Q09147;Q07407;Q8IQ00;Q9VZA8;Q8IPG1;P83097;M9PBI3;Q9VBW3,ZERO,F1QL49;B8A5K6;Q7SX76;E7FFW1;A0A0H2UKE7;F1QNY7;Q5GIT4;F1QK34;G1K2H0;G8JL11;E7F4F6;E9QCV8;F1Q614;B3DJR6;F1RBS5;F1QPA0;F1RC45;F1REM2;E7F1P1;E7FGQ0;F1QZR6;A8E7C6;B3DKP1;G1K2P2;B7ZVT9;F1R532;F1QHI8;Q5K373,ZERO,A0A024R7T2;A0A024RD88;A0A024RDA0;L7RSL3;P07333;P09619;P11362;P16234;P21802;P22455;P22607;P35590;P35916;P36888;Q02763;Q15198;Q6J9G0;Q8N441,P22455,NONE,NONE,NONE,NONE
KOG3731,4,1,NONE,NONE,Q21376,ZERO,Q95R73;D1Z367;Q5BIL9,ZERO,Q6EFA1;F1QJ04;F1QJV4;F1R152;F1QEE9;A5WUS2,ZERO,A0A024R809;A0A024RBC5;Q8IWU5;Q6UWY0,A0A024R809;Q8IWU5,NONE,NONE,NONE,NONE
KOG4295,4,2,NONE,NONE,A0A9S1;A0PCJ1;B9WRT9;C0Z3L5;Q21081;Q11101;Q9UAZ2;Q20008;Q20014;Q19021;O44621;Q7YTR8;Q94163;Q94164;Q17457;O62247;Q8WQC6;Q22685;F8Y417;Q4R127;Q95X61;Q21418;Q09983;Q9U350;Q9U211;O16784;O17644;Q7JKQ3;Q03610;O62504;G5EBJ3;Q18761;Q23354;Q23456;Q20010,ZERO,E1JHS4;Q9VQT8;Q9VQT9;Q9VQU0;Q9VQT5;Q9VQT6;Q4V621;M9NDD9;Q4V608;M9NFN0;Q9VQT7;Q9VQT1;Q4V4A5,ZERO,A7E2Q2;B0S6C1;E7EYN3;F1QD77;F1QEV7;F1QXZ6;Q1LYP0;Q1WCN6,F1QD77,P49223;O43278;O43291;O95925;Q9BQY6;K7EKZ2;P02760;Q6UDR6;P48307;Q8IUA0;P10646,O43278;O43291,NONE,NONE,NONE,NONE
KOG4475,4,1,NONE,NONE,G4SLH0;Q21465;O01761,ZERO,Q95SR4;A0A0B4LF75;Q7K4Z6;M9PEA9;Q961U1,ZERO,A4JYR5;A8KB21;E7EXX0;E7EY71;E7EYA9;E7EZE1;E7EZL5;E7EZM0;E7F2R9;E7F3V2;E7F4H5;E7F5K0;E7F8F8;E7F8L6;E7F8Z2;E7F933;E7F971;E7FBC3;E7FC77;E7FD44;E9QDX4;E9QFJ4;F1Q542;F1Q6U3;F1Q8W1;F1QB89;F1QBI8;F1QD43;F1QDY6;F1QED9;F1QEQ4;F1QHS2;F1QJM9;F1QLD8;F1QPQ5;F1QQJ1;F1QQM9;F1QSB6;F1QSL8;F1QTL8;F1QX70;F1R0P7;F1R1M8;F1R4L4;F1R874;F1R896;F1RA53;F1RDS5,E7F3V2,Q13308;Q9Y334;Q96RW7,ZERO,NONE,NONE,NONE,NONE
KOG3546,3,1,NONE,NONE,G5EGA4,ZERO,NONE,NONE,B0S8G4;F1QM25;F1R8Z2;F8W3T3,ZERO,P39059;P39060,P39059;P39060,NONE,NONE,NONE,NONE
KOG2579,4,1,NONE,NONE,G5EDT4,ZERO,A0A0B4K7T3;A1Z7G6;A8QHX1;B7Z0B3;E1JGS1;Q9W301;Q9VF34;Q9VX04;Q9VW70;M9PHH5;Q95SM8;Q9VME7;P21520,ZERO,A2CF37;A5PMA3;B0S6K5;B0UX68;B0UXH5;B8A5L6;E7EXE8;E7EZJ2;E7FBT1;E7FC76;E7FCD4;E7FCG4;E7FEA5;E9QC51;E9QJ82;F1QCW2;F1QG23;F1QJP8;F1QMJ6;F1QPI0;F1QQH9;F1QSM4;F1QUC4;F1QVU9;F1QWC0;F1QWC1;F1QWC8;F1QYE2;F1QYL5;F1QZC5;F1R2V2;F1R707;F1R7K7;F1RA44;F8W539;K7DY96;Q5RH53;Q1MT43;Q7ZVG7;Q5TYU3;Q6NYE1;Q4LES0;Q1LWR7,ZERO,A0A024QZ34;A0A024R7A9;A0A024R868;A0A024R908;A0A0A6YY94;A4D1B8;O43827;Q15389;P02671;O15123;Q9Y5C1;Q9Y264;O00602;Q15485;Q9BY76;P22105;O75636;P24821;P02679;Q86XS5;V9HVY1;Q92752;Q8N539,P02671;P22105;P24821;P02679;Q92752,NONE,NONE,NONE,NONE
KOG1216,4,1,NONE,NONE,Q22886;Q9XTQ9,ZERO,Q8SXY5;Q8T9J3;Q9VU94,ZERO,B6IDE3;E7EZ54;E7F2A5;E7FDM6;F1Q4S4;F1Q521;F1Q539;F1Q752;F1Q7R5;F1QCY9;F1QK57;F1QS73;F1R6W5;F8W399;H9GX97;H9GXC7;H9GXI4;H9GXK7;H9GXK8;H9GXT2;H9GY19;H9GYR5;H9GZ30,B6IDE3,A0A0A0MSS2;Q6W4X9;Q9HC84;O75443,ZERO,NONE,NONE,NONE,NONE
KOG3509,4,1,NONE,NONE,Q06561;Q9TYU4,ZERO,Q9NGV2,ZERO,A0A0B4J1A7;E7EZZ1;E7F840;F1QR09;F1R074;F1RCP6,ZERO,Q63HQ2;P98160,Q63HQ2;P98160,NONE,NONE,NONE,NONE
KOG1226,4,1,NONE,NONE,Q27874;Q9GYK2,ZERO,Q3YNE6;X2JE30,ZERO,F1QG85;F1QGX0;B3DIP9;B0S6X9;F1Q8F0;F1R5C6;E7F4H9;F1RA51;F1QUS4;F8W3S8;E7FCN5;F1QF91;Q19U09,ZERO,A0A024R8T0;A0A024RDW7;L7RT22;P18564;P26010;P26012;P05556;H3BM21;P05107,P18564;P26010;P26012;P05556;P05107,NONE,NONE,NONE,NONE
KOG3510,4,0,NONE,NONE,O62118;Q18806,ZERO,A4IJ70;Q9VGD0;P15364;Q9VGD2;Q8MRE6;Q59E13;Q961T8;Q8MS24;Q9VMN9;Q8SXJ2;Q4QQ69;Q9W258;M9MSH3;Q08180;Q9W4T9;Q4V3F0;Q9VMN6;Q9VKX8;M9PCI8;M9PEK5,ZERO,E7F419,ZERO,O95428;Q96J84;Q6UWL6;Q9UPX0;Q7Z5N4;Q8IZU9,ZERO,NONE,NONE,NONE,NONE
KOG1094,4,1,NONE,NONE,Q95ZV7;Q18163,ZERO,A8DYR2,ZERO,E7FFT8;E7F3X9;F6NI62;F8W614,ZERO,A0A024R906;A0A024RCL1;A0A0G2JHK4;Q08345,A0A024R906;Q08345,NONE,NONE,NONE,NONE
KOG3804,4,1,NONE,NONE,G5EC57,ZERO,Q01842;E2QCT0,ZERO,E7F5K8;F8W364;F1Q8H4;E7F1J0;Q29R87;Q68EH3;F1QN70,ZERO,A0A024R974;A0A024RDU6;Q99607;Q9NZC4;Q9UKW6;P41212;Q9Y603,A0A024R974,NONE,NONE,NONE,NONE
KOG0609,4,1,NONE,NONE,P91182;Q95XW5;Q17549;P54936,ZERO,A0A0B4KH39;B7YZF0;X2JIZ6;A1XXK1,ZERO,A5WV25;F1R2J9;F1QWI4;Q1LVF4;F1RDF1;E7F9L2;F1QKE3;F1QK58;E7FEN6;E7FC45;F1Q9P1;H9GXE2;E7F7X1;Q1LW94;E7F210;F1QG34,ZERO,A0A024RA25;D3DX48;Q13368;Q8N3R9;O14936;Q00013;Q96JB8;Q5T2T1,O14936,NONE,NONE,NONE,NONE
KOG0033,4,0,NONE,NONE,G5EDZ5,ZERO,L0MLR4,ZERO,Q4V9P8;Q6DEH3;F1QGL7;E7F012;A2BGW3;F1QW17;E7F2G0,ZERO,A0A024RDK3;A4D2J9;A8K161;Q13555,ZERO,NONE,NONE,NONE,NONE
